t_s,rojo,verde,azul,claro
9.6971,25,58,30,104
9.7115,25,58,30,104
9.7256,25,58,30,104
9.7415,25,58,30,104
9.7552,25,58,30,104
9.7706,25,58,30,104
9.7868,25,58,30,104
9.8001,25,58,30,104
9.8151,25,58,29,104
9.8282,25,58,29,103
9.8427,25,58,29,103
9.8593,25,58,29,103
9.8738,25,58,29,103
9.8854,25,58,29,103
9.9025,25,58,29,103
9.9164,25,58,29,103
9.9326,25,58,29,103
9.9478,26,58,29,103
9.9627,26,58,29,103
9.9795,26,58,29,103
9.9928,25,58,29,103
10.0108,25,58,29,103
10.0244,25,58,29,103
10.0408,26,59,30,103
10.0550,26,59,30,103
10.0738,26,59,30,103
10.0875,26,59,30,103
10.1034,26,59,30,103
10.1186,26,59,30,103
10.1336,25,58,30,104
10.1475,25,58,30,104
10.1636,25,58,30,104
10.1774,25,58,30,103
10.1935,25,58,30,103
10.2087,25,58,30,103
10.2246,25,58,30,103
10.2374,25,58,30,103
10.2544,30,49,23,93
10.2722,30,49,23,93
10.2849,30,49,23,93
10.3019,38,35,13,78
10.3171,38,35,13,78
10.3302,38,35,13,78
10.3453,38,35,13,78
10.3574,39,35,13,78
10.3759,39,35,13,78
10.3926,39,35,13,78
10.4069,39,35,13,78
10.4244,39,35,13,78
10.4391,38,36,13,78
10.4551,38,36,13,78
10.4699,38,36,13,78
10.4850,38,36,14,79
10.4991,38,36,14,79
10.5143,38,36,14,79
10.5268,39,35,13,78
10.5446,39,35,13,78
10.5617,39,36,13,79
10.5872,39,36,13,79
10.6044,39,36,13,79
10.6235,39,35,13,78
10.6399,39,35,13,78
10.6535,38,36,13,78
10.6733,38,36,13,78
10.6912,38,36,13,78
10.7042,38,36,13,78
10.7214,38,36,13,78
10.7335,38,36,13,78
10.7508,38,35,13,78
10.7668,38,35,13,78
10.7825,38,35,13,78
10.7969,38,36,14,79
10.8138,38,36,14,79
10.8268,38,36,14,79
10.8433,39,35,13,78
10.8571,39,35,13,78
10.8739,39,35,13,78
10.8871,38,35,13,78
10.9032,38,35,13,78
10.9205,38,35,13,78
10.9344,39,36,14,79
10.9484,39,36,14,79
10.9645,39,36,14,79
10.9784,39,35,13,78
10.9938,39,35,13,78
11.0068,39,35,13,78
11.0256,39,35,13,78
11.0394,39,35,13,78
11.0535,39,35,13,78
11.0693,38,36,13,78
11.0836,38,36,13,78
11.0984,39,36,13,78
11.1136,39,36,14,79
11.1276,39,36,14,79
11.1439,39,36,14,79
11.1596,39,36,14,79
11.1735,39,36,14,79
11.1875,39,36,14,79
11.2028,38,35,13,78
11.2168,38,35,13,78
11.2336,38,36,13,78
11.2475,38,36,13,78
11.2628,38,36,13,78
11.2775,38,35,13,78
11.2950,38,35,13,78
11.3094,38,35,13,78
11.3232,38,36,13,78
11.3357,38,36,13,78
11.3536,38,36,13,78
11.3732,39,35,14,79
11.3926,39,35,14,79
11.4151,38,36,13,79
11.4308,38,36,13,79
11.4448,38,36,13,79
11.4598,38,36,13,78
11.4753,38,36,13,78
11.4913,38,36,13,78
11.5078,38,35,13,78
11.5335,38,35,13,78
11.5515,38,36,14,79
11.5775,38,36,14,79
11.5966,39,35,13,78
11.6135,39,35,13,78
11.6281,39,35,13,78
11.6453,39,36,13,79
11.6613,39,36,13,79
11.6755,39,35,13,78
11.6948,39,35,13,78
11.7107,39,35,13,78
11.7270,39,35,13,78
11.7401,39,35,13,78
11.7541,39,35,13,78
11.7711,39,35,13,78
11.7847,39,35,13,78
11.7982,39,35,13,78
11.8134,38,35,13,78
11.8273,38,35,13,78
11.8436,38,35,13,78
11.8570,38,35,14,79
11.8737,38,35,14,79
11.8857,38,35,14,79
11.9023,39,35,14,79
11.9157,39,35,14,79
11.9287,39,35,14,79
11.9437,39,35,14,79
11.9597,39,35,14,79
11.9735,39,35,14,79
11.9882,38,36,14,78
12.0023,38,36,14,78
12.0144,38,36,14,78
12.0310,38,36,14,78
12.0445,38,35,13,78
12.0629,38,35,13,78
12.0768,38,36,14,79
12.0942,38,36,14,79
12.1093,38,36,14,79
12.1246,39,35,13,78
12.1387,39,35,13,78
12.1542,39,35,13,78
12.1693,38,35,13,78
12.1835,38,35,13,78
12.1971,38,35,13,78
12.2142,39,36,14,79
12.2277,39,36,14,79
12.2423,39,36,14,79
12.2561,33,44,15,83
12.2750,33,44,15,83
12.2881,33,44,15,83
12.3024,15,75,22,98
12.3205,15,75,22,98
12.3343,15,75,22,98
12.3496,15,75,22,99
12.3673,15,75,22,99
12.3836,15,75,22,99
12.3978,16,76,23,100
12.4120,16,76,23,100
12.4306,15,73,23,99
12.4505,15,73,23,99
12.4658,15,73,23,99
12.4834,15,75,23,99
12.5019,15,75,23,99
12.5198,15,75,22,98
12.5354,15,75,22,98
12.5551,16,75,23,99
12.5842,16,75,23,99
12.6027,15,75,23,99
12.6236,15,75,23,99
12.6418,15,75,23,99
12.6557,16,75,22,102
12.6735,16,75,22,102
12.6875,16,75,22,102
12.7036,15,75,23,102
12.7174,15,75,23,102
12.7341,15,75,23,102
12.7486,15,75,23,99
12.7639,15,75,23,99
12.7786,15,75,23,99
12.7936,16,76,22,100
12.8096,16,76,22,100
12.8235,16,76,22,100
12.8368,16,76,22,100
12.8539,16,76,22,100
12.8686,16,76,22,100
12.8816,15,75,23,100
12.8974,15,75,23,100
12.9111,15,75,23,100
12.9247,15,76,22,100
12.9406,15,76,22,100
12.9550,15,76,22,100
12.9727,16,76,22,100
12.9861,16,76,22,100
13.0028,16,76,22,100
13.0174,16,75,22,98
13.0336,16,75,22,98
13.0473,16,75,22,98
13.0646,16,75,22,102
13.0775,16,75,22,102
13.0941,16,75,22,102
13.1089,15,75,23,99
13.1243,15,75,23,99
13.1385,16,73,22,98
13.1558,16,73,22,98
13.1707,16,73,22,98
13.1847,16,76,23,99
13.2000,16,76,23,99
13.2140,16,76,23,99
13.2273,15,75,22,98
13.2427,15,75,22,98
13.2608,15,75,22,98
13.2759,15,75,22,98
13.2895,15,75,22,98
13.3052,15,75,22,98
13.3224,16,76,23,98
13.3360,16,76,23,98
13.3538,16,76,23,98
13.3718,16,76,23,100
13.3898,16,76,23,100
13.4145,15,75,23,99
13.4292,15,75,23,99
13.4442,15,75,23,99
13.4601,15,76,22,98
13.4775,15,76,22,98
13.4911,16,75,23,102
13.5129,16,75,23,102
13.5312,16,75,23,102
13.5476,15,75,23,99
13.5756,15,75,23,99
13.5986,15,75,23,102
13.6121,15,75,23,102
13.6309,15,75,23,98
13.6520,15,75,23,98
13.6670,15,75,23,98
13.6853,15,75,23,102
13.6991,15,75,23,102
13.7136,15,75,23,102
13.7268,16,76,22,100
13.7440,16,76,22,100
13.7595,15,73,22,100
13.7743,15,73,22,98
13.7876,15,73,22,98
13.8022,16,76,23,99
13.8203,16,76,23,99
13.8342,16,76,23,99
13.8487,16,76,23,99
13.8632,16,76,22,98
13.8778,16,76,22,98
13.8934,16,76,22,98
13.9063,15,75,23,98
13.9227,15,75,23,98
13.9380,15,75,23,99
13.9537,15,75,23,99
13.9715,15,75,23,99
13.9867,15,75,22,98
14.0016,15,75,22,98
14.0174,15,75,22,98
14.0303,16,76,22,102
14.0456,16,76,22,102
14.0609,16,76,22,102
14.0750,16,75,23,99
14.0889,16,75,23,99
14.1031,16,75,23,99
14.1212,16,76,22,98
14.1349,16,76,22,98
14.1493,16,76,22,98
14.1647,15,75,23,98
14.1785,15,75,23,98
14.1936,15,75,23,98
14.2092,16,76,23,100
14.2237,16,76,23,100
14.2362,16,76,23,100
14.2536,15,73,22,98
